fromNode	toNode	weight	direction	fromAltName	toAltName
AT1G33900	AT1G22250	0.957411250591061	undirected	NA	NA
AT1G33900	AT1G15015	0.957411250591061	undirected	NA	NA
AT1G33900	AT5G54330	0.957411250591061	undirected	NA	NA
AT1G33900	AT4G19750	0.957411250591061	undirected	NA	NA
AT1G33900	AT2G47900	0.99093693408431	undirected	NA	NA
AT1G33900	AT5G20640	0.886452875248173	undirected	NA	NA
AT1G33900	AT5G12140	0.864546684930262	undirected	NA	NA
AT1G33900	AT2G03620	0.872058368144644	undirected	NA	NA
AT1G33900	AT3G27950	0.901975734968413	undirected	NA	NA
AT1G22250	AT1G15015	1	undirected	NA	NA
AT1G22250	AT5G54330	1	undirected	NA	NA
AT1G22250	AT4G19750	1	undirected	NA	NA
AT1G22250	AT2G47900	0.946851338775613	undirected	NA	NA
AT1G22250	AT5G20640	0.920926484161825	undirected	NA	NA
AT1G22250	AT5G12140	0.957447202854334	undirected	NA	NA
AT1G22250	AT2G03620	0.947487492150138	undirected	NA	NA
AT1G22250	AT3G27950	0.956479146238498	undirected	NA	NA
AT1G22250	AT1G70800	0.10383223350524	undirected	NA	NA
AT1G15015	AT5G54330	1	undirected	NA	NA
AT1G15015	AT4G19750	1	undirected	NA	NA
AT1G15015	AT2G47900	0.946851338775613	undirected	NA	NA
AT1G15015	AT5G20640	0.920926484161825	undirected	NA	NA
AT1G15015	AT5G12140	0.957447202854334	undirected	NA	NA
AT1G15015	AT2G03620	0.947487492150138	undirected	NA	NA
AT1G15015	AT3G27950	0.956479146238498	undirected	NA	NA
AT1G15015	AT1G70800	0.10383223350524	undirected	NA	NA
AT5G54330	AT4G19750	1	undirected	NA	NA
AT5G54330	AT2G47900	0.946851338775613	undirected	NA	NA
AT5G54330	AT5G20640	0.920926484161825	undirected	NA	NA
AT5G54330	AT5G12140	0.957447202854334	undirected	NA	NA
AT5G54330	AT2G03620	0.947487492150138	undirected	NA	NA
AT5G54330	AT3G27950	0.956479146238498	undirected	NA	NA
AT5G54330	AT1G70800	0.10383223350524	undirected	NA	NA
AT4G19750	AT2G47900	0.946851338775613	undirected	NA	NA
AT4G19750	AT5G20640	0.920926484161825	undirected	NA	NA
AT4G19750	AT5G12140	0.957447202854334	undirected	NA	NA
AT4G19750	AT2G03620	0.947487492150138	undirected	NA	NA
AT4G19750	AT3G27950	0.956479146238498	undirected	NA	NA
AT4G19750	AT1G70800	0.10383223350524	undirected	NA	NA
AT2G47900	AT5G20640	0.850083435887636	undirected	NA	NA
AT2G47900	AT5G12140	0.845520763917753	undirected	NA	NA
AT2G47900	AT2G03620	0.842852987181587	undirected	NA	NA
AT2G47900	AT3G27950	0.895140852759671	undirected	NA	NA
AT5G20640	AT5G12140	0.925109356250981	undirected	NA	NA
AT5G20640	AT2G03620	0.915193515972542	undirected	NA	NA
AT5G20640	AT3G27950	0.833705338730633	undirected	NA	NA
AT5G12140	AT2G03620	0.989222791659909	undirected	NA	NA
AT5G12140	AT3G27950	0.952244896528894	undirected	NA	NA
AT5G12140	AT1G70800	0.114298855342631	undirected	NA	NA
AT2G03620	AT3G27950	0.963018211661048	undirected	NA	NA
AT3G27950	AT1G70800	0.110024811161294	undirected	NA	NA
AT2G30040	AT1G76350	0.982664470693476	undirected	NA	NA
AT2G30040	AT4G21740	0.981080297089812	undirected	NA	NA
AT2G30040	AT1G74640	0.952857507664177	undirected	NA	NA
AT2G30040	AT5G27520	0.981199536743466	undirected	NA	NA
AT2G30040	AT5G57610	0.930830172593584	undirected	NA	NA
AT2G30040	AT1G70800	0.955881056325039	undirected	NA	NA
AT2G30040	AT5G52410	0.944951227005419	undirected	NA	NA
AT2G30040	AT4G11080	0.97015564882597	undirected	NA	NA
AT2G30040	AT5G01710	0.937816040105383	undirected	NA	NA
AT1G76350	AT4G21740	0.982410144404546	undirected	NA	NA
AT1G76350	AT1G74640	0.987960904706984	undirected	NA	NA
AT1G76350	AT5G27520	0.931475524613586	undirected	NA	NA
AT1G76350	AT5G57610	0.914169140829013	undirected	NA	NA
AT1G76350	AT1G70800	0.983335712695495	undirected	NA	NA
AT1G76350	AT5G52410	0.893165185163118	undirected	NA	NA
AT1G76350	AT4G11080	0.95490475312418	undirected	NA	NA
