"","Var1","Freq"
"1","GO:0009414",148
"2","GO:0009737",138
"3","GO:0009611",102
"4","GO:0006355",82
"5","GO:0009753",74
"6","GO:0042742",72
"7","GO:0050832",71
"8","GO:0009409",61
"9","GO:0009651",61
"10","GO:0006979",58
"11","GO:0033993",55
"12","GO:0009416",53
"13","GO:0031347",51
"14","GO:0006970",49
"15","GO:0098542",49
"16","GO:0010035",47
"17","GO:0007165",44
"18","GO:0008150",40
"19","GO:1901701",39
"20","GO:0010150",37
"21","GO:0019438",35
"22","GO:1901362",35
"23","GO:0055085",34
"24","GO:0009059",33
"25","GO:0006468",32
"26","GO:0009620",31
"27","GO:0044248",30
"28","GO:0009266",29
"29","GO:0010015",27
"30","GO:0032787",24
"31","GO:0043436",24
"32","GO:0006952",23
"33","GO:0030154",23
"34","GO:0048364",23
"35","GO:0071396",23
"36","GO:0048589",22
"37","GO:0048316",21
"38","GO:0090558",21
"39","GO:0009408",20
"40","GO:0009751",20
"41","GO:0009888",20
"42","GO:0044281",20
"43","GO:0045893",20
"44","GO:0014070",19
"45","GO:0019748",19
"46","GO:0071456",19
"47","GO:0009631",18
"48","GO:0044255",18
"49","GO:0009617",17
"50","GO:0009738",17
"51","GO:1901565",17
"52","GO:2000022",17
"53","GO:0006629",16
"54","GO:0009733",16
"55","GO:0009755",15
"56","GO:0009867",15
"57","GO:0010228",15
"58","GO:0046394",15
"59","GO:1901135",15
"60","GO:0006357",14
"61","GO:0009627",14
"62","GO:0042538",14
"63","GO:0071310",14
"64","GO:0001666",13
"65","GO:0005975",13
"66","GO:0019752",13
"67","GO:0006749",12
"68","GO:0008610",12
"69","GO:0009639",12
"70","GO:0016070",12
"71","GO:0048367",12
"72","GO:1901605",12
"73","GO:0009908",11
"74","GO:0042546",11
"75","GO:0045892",11
"76","GO:0071669",11
"77","GO:0080090",11
"78","GO:1901566",11
"79","GO:0006721",10
"80","GO:0009407",10
"81","GO:0043170",10
"82","GO:0044550",10
"83","GO:0048827",10
"84","GO:0071554",10
"85","GO:0071695",10
"86","GO:0006869",9
"87","GO:0009555",9
"88","GO:0009793",9
"89","GO:0010468",9
"90","GO:0042440",9
"91","GO:0044271",9
"92","GO:0048366",9
"93","GO:0071407",9
"94","GO:0098771",9
"95","GO:0002213",8
"96","GO:0002237",8
"97","GO:0003333",8
"98","GO:0009269",8
"99","GO:0009637",8
"100","GO:0009744",8
"101","GO:0009826",8
"102","GO:0010114",8
"103","GO:0018130",8
"104","GO:0031326",8
"105","GO:0040007",8
"106","GO:0044085",8
"107","GO:0044283",8
"108","GO:0050793",8
"109","GO:0051171",8
"110","GO:0071215",8
"111","GO:0097305",8
"112","GO:1901575",8
"113","GO:0009642",7
"114","GO:0009691",7
"115","GO:0009723",7
"116","GO:0009749",7
"117","GO:0009889",7
"118","GO:0016036",7
"119","GO:0016311",7
"120","GO:0019761",7
"121","GO:0051301",7
"122","GO:1901698",7
"123","GO:0002229",6
"124","GO:0006082",6
"125","GO:0006561",6
"126","GO:0006631",6
"127","GO:0009072",6
"128","GO:0009739",6
"129","GO:0009788",6
"130","GO:0009812",6
"131","GO:0009845",6
"132","GO:0009873",6
"133","GO:0010431",6
"134","GO:0019538",6
