"","Drought"
"MEcyan",0.11171723167365
"MEwhite",0.278681218357084
"MEbrown",-0.970054666666801
"MEgreen",-0.423244758284693
"MElightcyan",-0.568275758474834
"MEroyalblue",-0.210893276257302
"MEsalmon",-0.367264361603684
"MEdarkorange",-0.479525558909719
"MEdarkred",-0.117329820416062
"MEdarkturquoise",-0.265293280659958
"MEblack",-0.312490726999754
"MEblue",-0.694920396446144
"MEpink",-0.0462805431408725
"MEgrey60",-0.511827508514585
"MEtan",-0.13461718942331
"MEyellow",-0.521699879321447
"MEdarkgrey",-0.0833304913402267
"MEmidnightblue",-0.461059286774588
"MEdarkgreen",0.41841154949951
"MEorange",-0.0025421982152685
"MEsaddlebrown",0.231552984166895
"MElightgreen",0.740510288324149
"MEskyblue",0.719678804568876
"MElightyellow",0.431755544430583
"MEred",0.432783719381216
"MEgreenyellow",0.565457772793893
"MEmagenta",0.640878640420524
"MEpurple",0.537088002886881
"MEturquoise",0.89247415460226
