"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G52200",405.401602953264,-1.59613512136815,0.240218382466086,-6.64451698068317,3.04213037175428e-11,2.23966571152936e-09
"AT1G53340",189.848486394244,1.06953455955802,0.214696548437955,4.98161040472945,6.30572907776068e-07,1.94362727104046e-05
"AT1G49570",2602.13582400835,-1.48952675854842,0.287718966039777,-5.17701971145864,2.25458404139138e-07,7.93730136187415e-06
"AT1G30640",1017.88095831568,1.07367572266131,0.197115193674275,5.4469455278801,5.12421474036482e-08,2.10692240796284e-06
"AT1G64110",1147.96209988972,4.02690665180377,0.368176297975927,10.9374413126047,7.63235729443586e-28,3.86800767814759e-25
"AT1G54950",33.8481816369864,-5.61184746623854,0.786565733358838,-7.13461981400399,9.70550425476711e-13,8.92414973501624e-11
"AT1G70080",51.7297105995375,-1.35049391396903,0.398138829789941,-3.39201759014954,0.000693799859598926,0.00752203310466656
"AT1G69080",555.876886911768,1.03841811353303,0.219805973779692,4.72424882580223,2.30967482196422e-06,6.03506399523313e-05
"AT1G77120",1705.58690124977,1.23339579850567,0.462348353083423,2.66767641818142,0.0076377778678603,0.0484548632595085
"AT1G68500",19.8822909469161,2.36495959038275,0.544308611152976,4.34488733399459,1.39347163982753e-05,0.000286073453026663
"AT1G77760",12414.8592034808,-2.40511815116746,0.215988108479355,-11.1354192973885,8.43471329548147e-29,4.71305825987519e-26
"AT1G22370",43.60296814798,1.18215232749573,0.355242491828981,3.32773346287875,0.000875555919890453,0.00902986966694404
"AT1G13300",969.291704481955,-1.78046235852431,0.241197287852758,-7.38176774032061,1.56201514116556e-13,1.66859970373921e-11
"AT1G70700",1074.2025281385,1.47203634134292,0.221231059013952,6.65384122782724,2.85540703320944e-11,2.12372116272014e-09
"AT1G56320",172.945491124398,1.06744617946937,0.27822327823946,3.83665301560659,0.000124722496916339,0.00182168408364669
"AT1G03790",32.3073248340615,2.27967461249432,0.747976992710646,3.04778707729077,0.00230533209692504,0.0193818661482217
"AT1G02220",504.111546418674,-1.40376972696965,0.240883849925862,-5.8275792561506,5.62371442432776e-09,2.81082533795758e-07
"AT1G75960",45.302364115568,1.0851728268939,0.359101439581493,3.0219116586071,0.00251183842230764,0.020710549715826
"AT1G18970",93.5360051583188,-1.7769128340926,0.531967956348227,-3.3402629103649,0.000836991125015263,0.00875646212017888
"AT1G07985",74.6269912735005,2.23346095707446,0.537732649297618,4.15347842462567,3.27459100756974e-05,0.000593182770049541
"AT1G79270",1257.62368949207,1.26038617396045,0.256047106094885,4.92247771585196,8.54552979997507e-07,2.55802452473979e-05
"AT1G80050",1408.66044813172,-1.09543770809998,0.203579615832914,-5.38088110451613,7.41221399028045e-08,2.92092165056404e-06
"AT1G50090",19.0367502194316,-3.91984440741196,0.678813664829671,-5.77455141300895,7.71583681855533e-09,3.77003398990937e-07
"AT1G71520",112.120268870543,1.5464046705103,0.29893009281044,5.17313147020938,2.30202916675873e-07,8.07823181996878e-06
"AT1G14520",540.40965574921,2.53779877267412,0.228143030149737,11.1237181824423,9.61783429730892e-29,5.2397961251739e-26
"AT1G49530",323.959505352169,1.14216110867381,0.280668836137591,4.06942617638495,4.71290697459638e-05,0.00080112066139161
"AT1G52050",424.319212603224,-1.52886902087298,0.158961442424203,-9.61786076898483,6.72144518697166e-22,1.87786837839085e-19
"AT1G52700",223.657497520002,-1.34946252017567,0.327614706135171,-4.11905355560838,3.80431728816776e-05,0.000674562102064702
"AT1G17710",18.2047638840159,4.457318551582,0.864373352602495,5.15670518782388,2.51333043172231e-07,8.73604924019088e-06
"AT1G16510",84.1474797939998,1.05854443010888,0.243339559097755,4.35007129146493,1.36093279101224e-05,0.000280316137823617
"AT1G08440",104.842432520676,3.8388327504819,0.457553973150022,8.38990146682265,4.86549788664596e-17,8.03249469286279e-15
"AT1G15460",286.981534376371,1.46260789520807,0.235043263327342,6.22271778609166,4.88615825634457e-10,2.88561411171439e-08
"AT1G17840",127.689838251484,1.03007784154597,0.230802084877809,4.46303525417161,8.08067515855408e-06,0.000180055289422506
"AT1G20440",29990.0742791858,1.27899241271434,0.163106425784331,7.84145938189767,4.45339985497732e-15,6.10367859368966e-13
"AT1G58270",15678.4423896273,1.43469145984914,0.225511912092822,6.36193204400934,1.99231591615898e-10,1.25119736152555e-08
"AT1G10370",94.4745717943074,1.97527434608471,0.261758875663307,7.54615995763003,4.48279418055107e-14,5.14152898855626e-12
"AT1G76680",14616.3510211361,1.24552849436585,0.387172902800173,3.2169826074029,0.00129546451835093,0.0122023347103451
"AT1G24020",7.84386994716638,-3.05350946383099,0.942467684392114,-3.23990892674531,0.00119567882593115,0.0114482570187573
"AT1G67560",3333.60778658962,1.06632852365802,0.319604684368232,3.3363982939294,0.000848714762144322,0.00884514208352418
