"","Var1","Freq"
"1","GO:0006355",69
"2","GO:0009737",69
"3","GO:0009414",58
"4","GO:0008150",49
"5","GO:0009409",46
"6","GO:0009651",46
"7","GO:0009611",34
"8","GO:0055085",34
"9","GO:0009753",25
"10","GO:0006979",24
"11","GO:0006952",21
"12","GO:0007165",21
"13","GO:0009631",20
"14","GO:0050832",20
"15","GO:0071456",19
"16","GO:0006970",18
"17","GO:0045893",18
"18","GO:2000022",17
"19","GO:0009738",16
"20","GO:0010150",15
"21","GO:0042742",15
"22","GO:0009408",14
"23","GO:0042538",14
"24","GO:0009733",13
"25","GO:0006357",12
"26","GO:0006749",11
"27","GO:0010228",11
"28","GO:0031347",11
"29","GO:0009407",10
"30","GO:0009751",10
"31","GO:0045892",10
"32","GO:0003333",9
"33","GO:0005975",9
"34","GO:0006869",9
"35","GO:0009555",9
"36","GO:0009793",9
"37","GO:0048364",9
"38","GO:0009269",8
"39","GO:0009620",8
"40","GO:0009744",8
"41","GO:0048316",8
"42","GO:0001666",7
"43","GO:0006468",7
"44","GO:0009416",7
"45","GO:0009617",7
"46","GO:0009627",7
"47","GO:0009691",7
"48","GO:0009749",7
"49","GO:0009845",7
"50","GO:0016036",7
"51","GO:0016311",7
"52","GO:1902074",7
"53","GO:0009739",6
"54","GO:0009788",6
"55","GO:0009867",6
"56","GO:0009873",6
"57","GO:0009911",6
"58","GO:0035556",6
"59","GO:0055062",6
"60","GO:0055129",6
"61","GO:0002229",5
"62","GO:0006629",5
"63","GO:0006950",5
"64","GO:0009695",5
"65","GO:0009834",5
"66","GO:0009908",5
"67","GO:0010025",5
"68","GO:0010112",5
"69","GO:0010118",5
"70","GO:0010189",5
"71","GO:0015804",5
"72","GO:0016104",5
"73","GO:0016567",5
"74","GO:0042542",5
"75","GO:0042594",5
"76","GO:0046777",5
"77","GO:0046856",5
"78","GO:0048366",5
"79","GO:0070588",5
"80","GO:0071215",5
"81","GO:2000143",5
"82","GO:0006012",4
"83","GO:0006874",4
"84","GO:0007166",4
"85","GO:0008643",4
"86","GO:0009266",4
"87","GO:0009615",4
"88","GO:0009637",4
"89","GO:0009789",4
"90","GO:0009826",4
"91","GO:0009827",4
"92","GO:0009909",4
"93","GO:0009958",4
"94","GO:0010029",4
"95","GO:0010030",4
"96","GO:0010345",4
"97","GO:0010555",4
"98","GO:0015770",4
"99","GO:0016102",4
"100","GO:0042372",4
