"","Drought"
"MEdarkorange",-0.0514508434923217
"MEskyblue",-0.378411384092954
"MEblack",-0.606558854779243
"MEyellow",-0.930120810017872
"MEred",0.0702899596855843
"MEviolet",-0.510510863531312
"MEdarkgreen",-0.467133938093491
"MEwhite",0.0494069561723959
"MEdarkolivegreen",-0.0192930755807821
"MEdarkred",-0.14206720329798
"MEroyalblue",0.448010303143468
"MEsteelblue",0.323898055712675
"MEblue",-0.492621477437542
"MEpink",-0.69337930061396
"MEgrey60",-0.671199326523602
"MEgreenyellow",-0.632386391099403
"MEgreen",-0.745488986040709
"MElightgreen",-0.622873471530534
"MEpurple",0.00048303322372676
"MEbrown",0.166715353295061
"MEcyan",-0.382197709882373
"MEmidnightblue",0.069958058192064
"MEpaleturquoise",0.555503930373142
"MEdarkturquoise",0.0525843377007562
"MEorange",0.306759912706116
"MEdarkmagenta",-0.173387219698443
"MEsaddlebrown",-0.00354573278814353
"MEsienna3",0.00361244432165114
"MEtan",0.704181757115586
"MEdarkgrey",0.843883660917742
"MEturquoise",0.930692694336939
"MEsalmon",0.0240403116412264
"MEmagenta",0.731585809025192
"MElightcyan",0.430210613520267
"MElightyellow",0.778647342981743
